Sex,NOC,Games,Sport,Medal,age-height-weight_0,age-height-weight_1,age-height-weight_2
M,URS,1968 Winter,Ice Hockey,Gold,30.0,180.0,81.0
M,URS,1984 Winter,Bobsleigh,Bronze,26.0,178.0,89.0
F,URS,1976 Summer,Rowing,Silver,19.0,180.0,83.0
F,URS,1980 Summer,Rowing,Gold,23.0,180.0,83.0
M,ARM,2012 Summer,Wrestling,Bronze,20.0,190.0,98.0
M,ARM,2016 Summer,Wrestling,Gold,24.0,190.0,98.0
M,URS,1972 Summer,Weightlifting,Gold,30.0,185.0,160.0
M,URS,1976 Summer,Weightlifting,Gold,34.0,185.0,160.0
F,URS,1964 Summer,Diving,Bronze,17.0,157.0,50.0
M,SRB,2012 Summer,Water Polo,Bronze,26.0,193.0,96.0
M,SRB,2016 Summer,Water Polo,Gold,30.0,193.0,96.0
F,BRA,1996 Summer,Basketball,Silver,22.0,200.0,85.0
F,BRA,2000 Summer,Basketball,Bronze,26.0,200.0,85.0
M,BRA,2012 Summer,Football,Silver,21.0,177.0,60.0
F,CAN,1996 Summer,Synchronized Swimming,Silver,27.0,172.0,58.0
M,GBR,1960 Summer,Fencing,Silver,24.0,188.0,74.0
F,CAN,2000 Summer,Rowing,Bronze,23.0,170.0,69.0
M,FRA,1984 Summer,Judo,Bronze,24.0,170.0,73.0
M,FRA,1988 Summer,Judo,Gold,28.0,170.0,73.0
M,BRA,2008 Summer,Football,Bronze,18.0,179.0,71.0
M,BRA,2012 Summer,Football,Silver,22.0,179.0,71.0
M,ROU,1980 Summer,Wrestling,Silver,26.0,157.0,52.0
M,ROU,1972 Summer,Boxing,Silver,26.0,189.0,81.0
M,URS,1976 Summer,Diving,Bronze,23.0,184.0,74.0
M,URS,1980 Summer,Diving,Silver,27.0,184.0,74.0
M,RUS,2000 Summer,Shooting,Bronze,33.0,181.0,88.0
M,NIG,2016 Summer,Taekwondo,Silver,21.0,207.0,90.0
F,URS,1976 Summer,Athletics,Bronze,30.0,170.0,62.0
M,ESP,1992 Summer,Football,Gold,19.0,178.0,69.0
M,USA,1984 Summer,Basketball,Gold,19.0,185.0,74.0
M,SWE,2006 Winter,Ice Hockey,Gold,33.0,182.0,92.0
M,SWE,2014 Winter,Ice Hockey,Silver,41.0,182.0,92.0
M,BRA,1948 Summer,Basketball,Bronze,23.0,183.0,77.0
M,BRA,1960 Summer,Basketball,Bronze,35.0,183.0,77.0
M,SWE,1994 Winter,Ice Hockey,Gold,27.0,178.0,77.0
F,SWE,2012 Summer,Equestrianism,Silver,37.0,163.0,56.0
